SNo.,District,Stray Cattle,Stray Dogs,X,Y
1,Ajmer,21247,38903, 74.6250309,26.4888442
2,Alwar,20708,55412,76.6106838,27.5440513
3,Banswara,2716,17368,74.4422449,23.540549
4,Baran,19622,16876,76.509417,25.094646
5,Barmer,45605,48862,71.40132,25.733459
6,Bharatpur,19691,57321,77.49009,27.21731
7,Bhilwara,49535,40467,74.636375,25.346259
8,Bikaner,52319,42624,73.315,28.0176
9,Bundi,27148,18825,75.637301,25.438155
10,Chittaurgarh,29727,30287, 74.626922 ,24.888744
11,Churu,28978,32408,74.9648008,28.2887349
12,Dausa,23621,24914,76.334824,26.894478
13,Dhaulpur,10587,21358,77.87968,26.69286
14,Dungarpur,4916,17533,73.7146533,23.841677
15,Ganganagar,65533,54881,73.8771901,29.9038399
16,Hanumangarh,52888,44631,74.289001,29.617766
17,Jaipur,51314,49002,75.78781,26.91962
18,Jaisalmer,25283,17537,70.90387,26.91763
19,Jalore,29978,43725,72.6389487, 25.3439792
20,Jhalawar,25376,21733,76.15757,24.588007
21,Jhunjhunun,28806,22985,75.377822, 28.105706
22,Jodhpur,71703,76387,73.0242974,26.2389589
23,Karauli,16284,22962,77.024954,26.5056181
24,Kota,13412,19825,75.8539808, 25.1695204
25,Nagaur,68999,100248,73.740924,27.199122
26,Pali,34783,53574,73.3234368, 25.7711003
27,Pratapgarh,2033,16538, 81.9793796,25.9153562
28,Rajsamand,10787,19779,73.8801211,25.0740507
29,Sawai Madhopur,15840,18299,76.352151,26.037777
30,Sikar,35276,26320, 75.1725376,27.63485
31,Sirohi,7060,23664,72.84527,24.895561
32,Tonk,23838,22012,75.783292,26.166708
33,Udaipur,10437,33755,73.6915369,24.5712769
